item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
312005081,1,TYPE,,,1,CS,CS-GC
312005081,2,GRA,,,0,CS,CS-GC
312005081,3,CND,,,0,CS,CS-GC
312005081,4,APP,,,0,CS,CS-GC
312005081,5,FAB,,,0,CS,CS-GC
100800011,1,TYPE,,,0,EL,EL-DI
100800011,2,CAL,,AMP,1,EL,EL-DI
100800011,3,TEN,,,0,EL,EL-DI
100800011,4,NBP,,Nos,0,EL,EL-DI
100800011,5,FAB,,,0,EL,EL-DI
100800012,1,TYPE,,,0,EL,EL-CO
100800012,2,ICM,,AMP,1,EL,EL-CO
100800012,3,TNB,,,0,EL,EL-CO
100800012,4,NBC,,Nos,0,EL,EL-CO
100800012,5,FAB,,,0,EL,EL-CO
100800013,1,TFM,,,1,EE,EE-CA
100800013,2,REF,,,0,EE,EE-CA
100800013,3,CONS,,,0,EE,EE-CA
100800013,4,ALIM,,,0,EE,EE-CA
100800013,5,VER,,,0,EE,EE-CA
100800014,1,SER,,,0,EE,EE-AU
100800014,2,NES,,Nos,1,EE,EE-AU
100800014,3,ALIM,,,0,EE,EE-AU
100800014,4,CONS,,,0,EE,EE-AU
100800014,5,TMO,,,0,EE,EE-AU
100800015,1,SER,,,0,EE,EE-AU
100800015,2,NES,,Nos,1,EE,EE-AU
100800015,3,ALIM,,,0,EE,EE-AU
100800015,4,CONS,,,0,EE,EE-AU
100800015,5,TMO,,,0,EE,EE-AU
100800016,1,FON,,,0,PN,PN-EV
100800016,2,DDR,,,1,PN,PN-EV
100800016,3,FIL,,,0,PN,PN-EV
100800016,4,TNC,,,0,PN,PN-EV
100800016,5,TYPE,,,0,PN,PN-EV
100800017,1,TYPE,,,0,HY,HY-FL
100800017,2,DN,,,1,HY,HY-FL
100800017,3,LON,,Millimeter,0,HY,HY-FL
100800017,4,EMB,,,0,HY,HY-FL
100800017,5,PRE,,Bar,0,HY,HY-FL
100800018,1,FON,,,0,PN,PN-EV
100800018,2,DDR,,,1,PN,PN-EV
100800018,3,FIL,,,0,PN,PN-EV
100800018,4,TNC,,,0,PN,PN-EV
100800018,5,TYPE,,,0,PN,PN-EV
100800019,1,TYPE,,,0,ME,ME-JO
100800019,2,DIA,,Millimeter,1,ME,ME-JO
100800019,3,DIM,,Millimeter,0,ME,ME-JO
100800019,4,MAT,,,0,ME,ME-JO
100800019,5,USG,,,0,ME,ME-JO
100800020,1,TYPE,,,0,ME,ME-JO
100800020,2,DIA,,Millimeter,1,ME,ME-JO
100800020,3,DIM,,Millimeter,0,ME,ME-JO
100800020,4,MAT,,,0,ME,ME-JO
100800020,5,USG,,,0,ME,ME-JO
100800021,1,TYPE,,,0,ME,ME-JO
100800021,2,DIA,,Millimeter,1,ME,ME-JO
100800021,3,DIM,,Millimeter,0,ME,ME-JO
100800021,4,MAT,,,0,ME,ME-JO
100800021,5,USG,,,0,ME,ME-JO
100800024,1,TCP,,,0,EE,EE-CP
100800024,2,SIG,,,1,EE,EE-CP
100800024,3,RAC,,,0,EE,EE-CP
100800024,4,ALIM,,,0,EE,EE-CP
100800024,5,PLG,,,0,EE,EE-CP
100800026,1,TCP,,,0,EE,EE-CP
100800026,2,SIG,,,1,EE,EE-CP
100800026,3,RAC,,,0,EE,EE-CP
100800026,4,ALIM,,,0,EE,EE-CP
100800026,5,PLG,,,0,EE,EE-CP
100800027,1,TCP,,,0,EE,EE-CP
100800027,2,SIG,,,1,EE,EE-CP
100800027,3,RAC,,,0,EE,EE-CP
100800027,4,ALIM,,,0,EE,EE-CP
100800027,5,PLG,,,0,EE,EE-CP
100800029,1,FON,,,0,PN,PN-EV
100800029,2,DDR,,,1,PN,PN-EV
100800029,3,FIL,,,0,PN,PN-EV
100800029,4,TNC,,,0,PN,PN-EV
100800029,5,TYPE,,,0,PN,PN-EV
100800031,1,TYPE,,,0,ME,ME-JO
100800031,2,DIA,,Millimeter,1,ME,ME-JO
100800031,3,DIM,,Millimeter,0,ME,ME-JO
100800031,4,MAT,,,0,ME,ME-JO
100800031,5,USG,,,0,ME,ME-JO
100800032,1,TYPE,,,0,HY,HY-VE
100800032,2,DAP,,Millimeter,1,HY,HY-VE
100800032,3,DGT,,Millimeter,0,HY,HY-VE
100800032,4,COU,,Millimeter,0,HY,HY-VE
100800032,5,PRE,,Bar,0,HY,HY-VE
100800033,1,TYPE,,,0,HY,HY-VE
100800033,2,DAP,,Millimeter,1,HY,HY-VE
100800033,3,DGT,,Millimeter,0,HY,HY-VE
100800033,4,COU,,Millimeter,0,HY,HY-VE
100800033,5,PRE,,Bar,0,HY,HY-VE
100800041,1,TYPE,,,0,EL,EL-RE
100800041,2,TDCB,,,1,EL,EL-RE
100800041,3,CRT,,AMP,0,EL,EL-RE
100800041,4,NBC,,Nos,0,EL,EL-RE
100800041,5,FAB,,,0,EL,EL-RE
100800043,1,TYPE,,,0,PN,PN-CO
100800043,2,PMD,,,1,PN,PN-CO
100800043,3,CCU,,L,0,PN,PN-CO
100800043,4,PRE,,Bar,0,PN,PN-CO
100800043,5,FAB,,,0,PN,PN-CO
100800054,1,TYPE,,,1,CS,CS-GC
100800054,2,GRA,,,0,CS,CS-GC
100800054,3,CND,,,0,CS,CS-GC
100800054,4,APP,,,0,CS,CS-GC
100800054,5,FAB,,,0,CS,CS-GC
100800069,1,TYPE,,,0,HY,HY-FI
100800069,2,SEU,,Micrometer,1,HY,HY-FI
100800069,3,RAC,,,0,HY,HY-FI
