item_code,item_name,famille,sous_famille,sous_famille_code,nouveau_code,nouvelle_description
312005081,STEAMCARE 619 MAKE: INDIGO,CS,CS-GC,GC,CS-GC-STM-001,
100800011,TRANSFORMER BK-1500 ARA-2J2L/B,EL,EL-DI,DI,EL-DI-015-001,"DISJONCTEUR [Type: [VIDE,BAIN D'HUILE,GAZ,MOTEUR,MANETTE]  [Calibre/A] [Tension/Volt][Nbr Pôles] [Fabricant]"
100800012,SILICON CONTROL SSR-25 VA ARA-2J2L/B,EL,EL-CO,CO,EL-CO-025-001,CONTACTEUR [Intensité/A] BOBINE [Tension/V] [Nbr Contacts NO/NF]
100800013,CIRCUIT BOARD AMP-2 ARA-2J2L/B,EE,EE-CA,CA,EE-CA-AMP-001,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800014,PLC (FX2N - 2DA) ARA-2J2L/B,EE,EE-AU,AU,EE-AU-2DA-001,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
100800015,PLC (FX2N-4AD) ARA-2J2L/B,EE,EE-AU,AU,EE-AU-4AD-001,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
100800016,PROPORTIONAL VALVEG03-125-2-20 ARA-2J2L/B,PN,PN-EV,EV,PN-EV-PRO-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800017,HYDRAULIC HOSE (ARA-2J2L/B) ARA-2J2L/B,HY,HY-FL,FL,HY-FL-HYD-001,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
100800018,REXROTH ELECTROMAGNETIC VALVE (082002302624DV),PN,PN-EV,EV,PN-EV-REX-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800019,SEAL FOR CLOSING CYLINDER (ARA (ARA 2J2L/B),ME,ME-JO,JO,ME-JO-PST-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800020,SEAL FOR SHAFT CYLINDER (ARA 2 (ARA 2J2L/B),ME,ME-JO,JO,ME-JO-RDS-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800021,SEAL FOR NEEDLE CYLINDER (ARA (ARA 2J2L/B),ME,ME-JO,JO,ME-JO-NDL-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800024,SWITCH OF PLASTIC MACHINE (ARA 2J2L/B),EE,EE-CP,CP,EE-CP-SWI-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800026,LIGHT OPERATED SWITCH OF LEAK TESTING MACHINE - CNXDND,EE,EE-CP,CP,EE-CP-LIG-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800027,SENSORS SDP2000-C (ARA - 2J2L/B),EE,EE-CP,CP,EE-CP-SEN-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800029,SOLENOID OF LEAK TESTING M/C S SMC,PN,PN-EV,EV,PN-EV-SOL-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800031,JOINT OF THE CYLINDER ASL6-01,ME,ME-JO,JO,ME-JO-CYL-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800032,CYLINDER -LEAK TESTING MA25-50 MA25*50-S-U,HY,HY-VE,VE,HY-VE-025-001,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800033,CYLINDER -LEAK TESTING MA20-75 MA20*75-S-U,HY,HY-VE,VE,HY-VE-020-001,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800041,RELAY OF THE CHILLER MK2P-I,EL,EL-RE,RE,EL-RE-REL-001,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
100800043,DISCHARGE VALVE FPR KAISHAN,PN,PN-CO,CO,PN-CO-DIS-001,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
100800054,OIL RETURN SINGLE DIRECTION VA,CS,CS-GC,GC,CS-GC-OIL-001,
100800069,AIR FILTER ELEMENT T,HY,HY-FI,FI,HY-FI-AIR-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800071,COIL HEATER 22 MM OD FOR 1 LIT PET MOULD,CS,CS-GC,GC,CS-GC-022-001,
100800076,HEAT EXCHANGER FOR PARISON PUMP TANK,HY,HY-PO,PO,HY-PO-HEA-001,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
