sous_famille,famille,sous_famille_code,sequence,propriete,propriete_description,raw_unit,resolved_uom,is_major_default,valeurs_possibles,statut,source,masque_description_erp
CS-AM,CS,AM,1,TYPE,Type,,,1,,Non validé,No encore validée,
CS-AM,CS,AM,2,RES,Résistance,,,0,,Non validé,No encore validée,
CS-AM,CS,AM,3,CND,Conditionnement,L / kg,,0,,Non validé,No encore validée,
CS-AM,CS,AM,4,APP,Application,,,0,,Non validé,No encore validée,
CS-AM,CS,AM,5,FAB,Fabricant,,,0,,Non validé,No encore validée,
CS-CA,CS,CA,1,TYPE,Type,,,1,,Non validé,No encore validée,
CS-CA,CS,CA,2,DIM,Dimensions,mm,Millimeter,0,,Non validé,No encore validée,
CS-CA,CS,CA,3,CND,Conditionnement,Nos,,0,,Non validé,No encore validée,
CS-CA,CS,CA,4,MAT,Matière,,,0,,Non validé,No encore validée,
CS-CA,CS,CA,5,FAB,Fabricant,,,0,,Non validé,No encore validée,
CS-EP,CS,EP,1,TYPE,Type,,,1,,Non validé,No encore validée,
CS-EP,CS,EP,2,TAI,Taille,,,0,,Non validé,No encore validée,
CS-EP,CS,EP,3,NPR,Niveau de protection,,,0,,Non validé,No encore validée,
CS-EP,CS,EP,4,MAT,Matière,,,0,,Non validé,No encore validée,
CS-EP,CS,EP,5,NOR,Norme,,,0,,Non validé,No encore validée,
CS-GC,CS,GC,1,TYPE,Type,,,1,,Non validé,No encore validée,
CS-GC,CS,GC,2,GRA,Grade / viscosité,,,0,,Non validé,No encore validée,
CS-GC,CS,GC,3,CND,Conditionnement,L / kg,,0,,Non validé,No encore validée,
CS-GC,CS,GC,4,APP,Application,,,0,,Non validé,No encore validée,
CS-GC,CS,GC,5,FAB,Fabricant,,,0,,Non validé,No encore validée,
CS-JG,CS,JG,1,TYPE,Type,,,1,,Non validé,No encore validée,
CS-JG,CS,JG,2,MAT,Matière,,,0,,Non validé,No encore validée,
CS-JG,CS,JG,3,DIM,Dimensions,mm,Millimeter,0,,Non validé,No encore validée,
CS-JG,CS,JG,4,REFERENC,Référence,,,0,,Non validé,No encore validée,
CS-JG,CS,JG,5,FAB,Fabricant,,,0,,Non validé,No encore validée,
CS-MS,CS,MS,1,TYPE,Type,,,1,,Non validé,No encore validée,
CS-MS,CS,MS,2,CAP,Capacité,L / kg,,0,,Non validé,No encore validée,
CS-MS,CS,MS,3,CLS,Classe,,,0,,Non validé,No encore validée,
CS-MS,CS,MS,4,DIM,Dimensions,mm,Millimeter,0,,Non validé,No encore validée,
CS-MS,CS,MS,5,NOR,Norme,,,0,,Non validé,No encore validée,
CS-SC,CS,SC,1,PRC,Procédé,,,1,,Non validé,No encore validée,
CS-SC,CS,SC,2,DIA,Diamètre,mm,Millimeter,0,,Non validé,No encore validée,
CS-SC,CS,SC,3,NUA,Nuance,,,0,,Non validé,No encore validée,
CS-SC,CS,SC,4,TYPE,Type,,,0,,Non validé,No encore validée,
CS-SC,CS,SC,5,CND,Conditionnement,Nos,,0,,Non validé,No encore validée,
EE-AU,EE,AU,1,SER,Série / modèle,,,0,,Validé terrain,Eddy,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
EE-AU,EE,AU,2,NES,Nombre d'entrées/sorties,Nos,Nos,1,,Validé terrain,Eddy,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
EE-AU,EE,AU,3,ALIM,Alimentation,Volt,,0,,Validé terrain,Eddy,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
EE-AU,EE,AU,4,CONS,Constructeur,,,0,,Validé terrain,Eddy,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
EE-AU,EE,AU,5,TMO,Type module,,,0,,Validé terrain,Eddy,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
EE-CA,EE,CA,1,TFM,Type de fonction / module,,,1,,Validé terrain,Eddy,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
EE-CA,EE,CA,2,REF,Référence modèle,,,0,,Validé terrain,Eddy,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
EE-CA,EE,CA,3,CONS,Constructeur,,,0,,Validé terrain,Eddy,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
EE-CA,EE,CA,4,ALIM,Alimentation,Volt,,0,,Validé terrain,Eddy,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
EE-CA,EE,CA,5,VER,Version / compatibilité,,,0,,Validé terrain,Eddy,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
EE-CP,EE,CP,1,TCP,Type capteur,,,0,,Validé terrain,Eddy,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
EE-CP,EE,CP,2,SIG,Signal de sortie,,,1,,Validé terrain,Eddy,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
EE-CP,EE,CP,3,RAC,Raccordement,,,0,,Validé terrain,Eddy,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
EE-CP,EE,CP,4,ALIM,Alimentation,Volt,,0,,Validé terrain,Eddy,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
EE-CP,EE,CP,5,PLG,Portée / plage,,,0,,Validé terrain,Eddy,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
EE-HM,EE,HM,1,TEC,Taille écran,Pouces,Inch,1,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
EE-HM,EE,HM,2,RET,Résolution / type,,,0,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
EE-HM,EE,HM,3,ALIM,Alimentation,Volt,,0,,Validé terrain,Eddy,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
